title,episode_number,coverage_start_date,coverage_end_date,coverage_date
"123: March 18, 2008",123,"March 18, 2008","March 18, 2008","March 18, 2008"
"124: March 23, 2008",124,"March 23, 2009","March 23, 2008",
125: Project Camelot's War In Heaven,125,,,
"126: February 2, 2018 (Special Report)",126,"February 2, 2018","February 2, 2018","February 2, 2018"
"127: February 8, 2018",127,"February 8, 2018","February 8, 2018","February 8, 2018"
"128: March 3, 2015",128,"March 5, 2015","March 5, 2015","March 5, 2015"
129: David Rothschild Interview,129,,,
"130A: Endgame, Part 1",130A,,,
"130B: Endgame, Part 2",130B,,,
"130C: Endgame, Part 3",130C,,,
"130D: Endgame, Part 4",130D,,,
"130E: Endgame, Part 5",130E,,,
131: David Lynch Interview,131,,,
132: Minisode,132,,,
133: Operation Paul Revere,133,,,
134: Post-Tribulation Rapture?,134,,,
135: The Wikileaks Press Conference,135,,,
"136: March 30-31, 2008",136,"March 30, 2008","March 31, 2008",
"137: March 12, 2018",137,"March 12, 2018","March 12, 2018","March 12, 2018"
"138: March 13-15, 2018",138,"March 13, 2018","March 15, 2018",
139: St. Patrick's Day Special Report,139,,,
"140: February 18, 2011",140,"February 18, 2011","February 18, 2011","February 18, 2011"
"141: March 20-22, 2018",141,"March 20, 2018","March 22, 2018",
"142: March 23, 2018",142,"March 23, 2018","March 23, 2018","March 23, 2018"
143: March 25-31 Part 1,143,"March 25, 2018","March 31, 2018",
"144: March 25-31, Part 2",144,"March 25, 2018","March 31, 2018",
"145: April 2, 2018",145,"April 2, 2018","April 2, 2018","April 2, 2018"
"146: April 4, 2018",146,"April 4, 2018","April 4, 2018","April 4, 2018"
147: Aaron Russo,147,,,
"148: June 1-3, 2009",148,"June 1, 2009","June 3, 2009",
149: The Press Conference,149,,,
150: Alex Jones Attempts A Face Turn,150,,,
"151: April 16, 2018",151,"April 16, 2018","April 16, 2018","April 16, 2018"
"152: April 18, 2018",152,"April 18, 2018","April 18, 2018","April 18, 2018"
153: More Mark Richards Fun,153,,,
"154: April 23, 2018",154,"April 23, 2018","April 23, 2018","April 23, 2018"
"155: January 7-9, 2009",155,"January 7, 2009","January 9, 2009",
156: Gaseous Beings and Antiques,156,,,
157: WWE's Kane (Ft. Marty DeRosa),157,,,
"158: January 21, 2009",158,"January 21, 2009","January 21, 2009","January 21, 2009"
159: Mantids and Chakra Attacks,159,,,
"160: January 22-25, 2009",160,"January 22, 2009","January 25, 2009",
"161: May 14, 2018",161,"May 14, 2018","May 14, 2018","May 14, 2018"
"162: May 19, 2018",162,"May 19, 2018","May 19, 2018","May 19, 2018"
"163: January 27-29, 2009",163,"January 27, 2009","January 29, 2009",
"164: May 25, 2018",164,"May 25, 2018","May 25, 2018","May 25, 2018"
"165: Rotondo, Round 2",165,,,
"166: February 2-3, 2009",166,"February 2, 2009","February 3, 2009",
"167: February 4-5, 2009",167,"February 4, 2009","February 5, 2009",
168: Alex Vs. Bill Ayers,168,,,
"169: November 30, 2014",169,"November 30, 2014","November 30, 2014","November 30, 2014"
170: Live In Austin,170,"January 25, 2015","January 25, 2015","January 25, 2015"
171: Loosh and Let Live,171,,,
"172: June 11, 2013",172,"June 11, 2013","June 11, 2013","June 11, 2013"
"173: February 6-10, 2009",173,"February 6, 2009","February 10, 2009",
"174: February 11, 2009",174,"February 11, 2009","February 11, 2009","February 11, 2009"
175: Giants And Bonus Potatoes,175,,,
"176: June 28, 2018",176,"June 28, 2018","June 28, 2018","June 28, 2018"
177: Sweary Kerry and the Racist Alien,177,,,
178: Rowdy Roddy Piper w/ Marty DeRosa,178,,,
"179: July 10, 2018",179,"July 10, 2018","July 10, 2018","July 10, 2018"
180: Heresy and God Kings,180,,,
"181: August 16, 2016",181,"August 16, 2016","August 16, 2016","August 16, 2016"
182: Pay-To-Play Satan Fears,182,,,
InfoWars Roulette #2,S006,,,
"183: February 12-16, 2009",183,"February 12, 2009","February 16, 2009",
184: Godly Particles and Illiteracy,184,,,
"185: July 27, 2018",185,"July 27, 2018","July 27, 2018","July 27, 2018"
"186: February 17-18, 2009",186,"February 17, 2009","February 18, 2009",
187: Magic Cheesecloth and Secret Pleiadians,187,,,
"188: August 1, 2018",188,"August 1, 2018","August 1, 2018","August 1, 2018"
"189: February 19-20, 2009",189,"February 19, 2009","February 20, 2009",
"190: August 6, 2018",190,"August 6, 2018","August 6, 2018","August 6, 2018"
191: Blood Moons and Our First Call-In,191,,,
"192: August 10, 2018",192,"August 10, 2018","August 10, 2018","August 10, 2018"
193: Big Skeletons and Pencil Ink,193,,,
"194: February 22-24, 2009",194,"February 22, 2009","February 24, 2009",
"195: August 17, 2018",195,"August 17, 2018","August 17, 2018","August 17, 2018"
"196: August 21, 2018",196,"August 21, 2018","August 21, 2018","August 21, 2018"
197: Jared Holt from the Sh!tpost Podcast,197,,,
"198: July 22, 2011",198,"July 22, 2011","July 22, 2011","July 22, 2011"
"199: August 29, 2018",199,"August 29, 2018","August 29, 2018","August 29, 2018"
"200: Feb. 25-March 1, 2009",200,"February 25, 2009","March 1, 2009",
201: A New Messiah and The Plunger Toss,201,,,
"202: September 4-6, 2018",202,"September 4, 2018","September 6, 2018",
"203: March 2-4, 2009",203,"March 2, 2009","March 4, 2009",
204: Sweary Kerry's Larry,204,,,
"205: September 13, 2018",205,"September 13, 2018","September 13, 2018","September 13, 2018"
"206: March 4-5, 2009",206,"March 4, 2009","March 5, 2009",
207: Bus Station Photography and The Magic of Zoom,207,,,
"208: March 6-8, 2009",208,"March 6, 2009","March 8, 2009",
209: Drunk Hotel Interview,209,,,
"210: March 9, 2009",210,"March 9, 2009","March 9, 2009","March 9, 2009"
"211: March 10, 2009",211,"March 10, 2009","March 10, 2009","March 10, 2009"
212: Matrix Schemes and Billions In Liens,212,,,
"213: October 2, 2018",213,"October 2, 2018","October 2, 2018","October 2, 2018"
214: Cruel Parallels,214,,,
"215: March 11-12, 2009",215,"March 11, 2009","March 12, 2009",
"216: November 11, 2010",216,"November 11, 2010","November 11, 2010","November 11, 2010"
217: Space Liars and Dragon Moths,217,,,
"218: October 17, 2018",218,"October 17, 2018","October 17, 2018","October 17, 2018"
"219: March 13, 2009",219,"March 13, 2009","March 13, 2009","March 13, 2009"
"220: October 23, 2018",220,"October 23, 2018","October 23, 2018","October 23, 2018"
"221: October 24, 2018",221,"October 24, 2018","October 24, 2018","October 24, 2018"
"222: March 15-19, 2009",222,"March 15, 2009","March 19, 2009",
223: A Progressive Space Diplomat,223,,,
"224: March 20, 2009",224,"March 20, 2009","March 20, 2009","March 20, 2009"
"225: November 2, 2018",225,"November 2, 2018","November 2, 2018","November 2, 2018"
"226: November 7, 2018",226,"November 7, 2018","November 7, 2018","November 7, 2018"
"227: March 23, 2009",227,"March 23, 2009","March 23, 2009","March 23, 2009"
228: Old Alex Clips,228,,,
229: Mars Germans and Moon Leases,229,,,
"230A: Obama Deception, Part 1",230A,,,
"230B: Obama Deception, Part 2",230B,,,
"230C: Obama Deception, Part 3",230C,,,
"230D: Obama Deception, Part 4",230D,,,
"230E: Obama Deception, Part 5",230E,,,
"231: March 24, 2009",231,"March 24, 2009","March 24, 2009","March 24, 2009"
232: Reverend Manning,232,,,
"233: November 28, 2018",233,"November 28, 2018","November 28, 2018","November 28, 2018"
"234: March 26, 2009",234,"March 26, 2009","March 26, 2009","March 26, 2009"
"236: December 4-5, 2018",236,"December 4, 2018","December 5, 2018",
"237: March 27, 2009",237,"March 27, 2009","March 27, 2009","March 27, 2009"
238: Coach Dave,238,,,
"239: December 12-13, 2018",239,"December 12, 2018","December 13, 2018",
"240: March 30-31, 2009",240,"March 30, 2009","March 31, 2009",
241: Larry Gets Coached,241,,,
"242: December 18-19, 2018",242,"December 18, 2018","December 19, 2018",
"243: April 1-2, 2009",243,"April 1, 2009","April 2, 2009",
"244: October 5, 2014",244,"October 5, 2014","October 5, 2014","October 5, 2014"
"245: December 24, 2018",245,"December 24, 2018","December 24, 2018","December 24, 2018"
"246: April 5-6, 2009",246,"April 5, 2009","April 6, 2009",
247: Lionel,247,,,
"248: January 2, 2019",248,"January 2, 2019","January 2, 2019","January 2, 2019"
249: Predicting 9/11,249,,,
250: Remote Poisoners And Crypto Bigotry,250,,,
"251: January 8, 2019",251,"January 8, 2019","January 8, 2019","January 8, 2019"
"252: April 7-8, 2009",252,"April 7, 2009","April 8, 2009",
"253: January 15, 2019",253,"January 15, 2019","January 15, 2019","January 15, 2019"
"254: April 9-10, 2009",254,"April 9, 2009","April 10, 2009",
"255: September 25, 2011",255,"September 25, 2011","September 25, 2011","September 25, 2011"
"256: January 17-23, 2019",256,"January 17, 2019","January 23, 2019",
"257: January 25, 2019",257,"January 25, 2019","January 25, 2019","January 25, 2019"
"258: April 12-13, 2009",258,"April 12, 2009","April 13, 2009",
"259: January 27-29, 2019",259,"January 27, 2019","January 29, 2019",
260: Aliens Need Editors,260,,,
"261: February 5-6, 2019",261,"February 5, 2019","February 6, 2019",
"262: April 14, 2009",262,"April 14, 2009","April 14, 2009","April 14, 2009"
263: Jordan Takes The Wheel,263,,,
"264: February 11-13, 2019",264,"February 11, 2019","February 13, 2019",
"265: September 1, 2011",265,"September 1, 2011","September 1, 2011","September 1, 2011"
"266: December 14, 2012",266,,,
"267: December 16, 2012",267,,,
"268: December 17-18, 2012",268,"December 17, 2012","December 18, 2012",
"269: December 19, 2012",269,"December 19, 2012","December 19, 2012","December 19, 2012"
270: The Rogan Return,270,,,
271: The Serpent Loves Word Games,271,,,
"272: December 20, 2012",272,"December 20, 2012","December 20, 2012","December 20, 2012"
"273: March 5-6, 2019",273,"March 5, 2019","March 6, 2019",
274: Ask Alex Anything,274,,,
"275: December 23-31, 2012",275,"December 23, 2012","December 31, 2012",
"276: January 1-2, 2013",276,"January 1, 2013","January 2, 2013",
"277: March 15, 2019",277,"March 15, 2019","March 15, 2019","March 15, 2019"
"278: January 3, 2013",278,"January 3, 2013","January 3, 2013","January 3, 2013"
279: Formulaic Objections,279,,,
280: Raptor Weddings and Sardinian Spiders,280,,,
"281: April 4, 2019",281,"April 4, 2019","April 4, 2019","April 4, 2019"
"282: April 5, 2019",282,"April 5, 2019","April 5, 2019","April 5, 2019"
"283: January 4-6, 2013",283,"January 4, 2013","January 6, 2013",
"284: April 12, 2019",284,"April 12, 2019","April 12, 2019","April 12, 2019"
285: Lil' Taste of Poland,285,,,
286: Wrestling With Disappointment,286,,,
"287: April 15-18, 2019",287,"April 15, 2019","April 18, 2019",
"288: January 7-9, 2013",288,"January 7, 2013","January 9, 2013",
"289: January 10-13, 2013",289,"January 10, 2013","January 13, 2013",
"290: April 25-26, 2019",290,"April 25, 2019","April 26, 2019",
291: Feline Contessas And Canine Capitalists,291,,,
"292: January 14, 2013",292,"January 14, 2013","January 14, 2013","January 14, 2013"
"293: May 2-3, 2019",293,"May 2, 2019","May 3, 2019",
"294: January 15-16, 2013",294,"January 15, 2013","January 16, 2013",
295: Crossover With QAnon Anonymous,295,,,
"296: May 8, 2019",296,"May 8, 2019","May 8, 2019","May 8, 2019"
"297: January 17-18, 2013",297,"January 17, 2013","January 18, 2013",
"298: January 20-23, 2013",298,"January 20, 2013","January 23, 2013",
"299: May 17-20, 2019",299,"May 17, 2019","May 20, 2019",
"300: May 21-22, 2019",300,"May 21, 2019","May 22, 2019",
"301: January 24-28, 2013",301,"January 24, 2013","January 28, 2013",
302: Discernment Overload,302,,,
"303: January 29-31, 2013",303,"January 29, 2013","January 31, 2013",
"304: May 30-31, 2019",304,"May 30, 2019","May 31, 2019",
"305: February 1, 2013",305,"February 1, 2013","February 1, 2013","February 1, 2013"
"306: June 4-5, 2019",306,"June 4, 2019","June 5, 2019",
"307: February 3-5, 2013",307,"February 3, 2013","February 5, 2013",
"308: February 6-8, 2013",308,"February 6, 2013","February 8, 2013",
"309: June 10-11, 2019",309,"June 10, 2019","June 11, 2019",
"310: June 13-14, 2019",310,"June 13, 2019","June 14, 2019",
"311: June 17-19, 2019",311,"June 17, 2019","June 19, 2019",
"312: February 10-13, 2013",312,"February 10, 2013","February 13, 2013",
"313: June 23-24, 2019",313,"June 23, 2019","June 24, 2019",
"314: February 14-15, 2013",314,"February 14, 2013","February 15, 2013",
"315: February 17-18, 2013",315,"February 17, 2013","February 18, 2013",
"316: July 1, 2019",316,"July 1, 2019","July 1, 2019","July 1, 2019"
"317: February 19-20, 2013",317,"February 19, 2013","February 20, 2013",
"318: July 5, 2019",318,"July 5, 2019","July 5, 2019","July 5, 2019"
"319: July 7-8, 2019",319,"July 8, 2019","July 9, 2019",
"320: February 21-22, 2013",320,"February 21, 2013","February 23, 2013",
"321: February 24-26, 2013",321,"February 24, 2013","February 26, 2013",
"322: July 16-17, 2019",322,"July 16, 2019","July 17, 2019",
"323: July 19, 2019",323,"July 19, 2019","July 19, 2019","July 19, 2019"
324: Bilderberg Speeches,324,,,
"325: Feb. 27-Mar. 10, 2013",325,"February 27, 2013","March 10, 2013",
"326: July 26-29, 2019",326,"July 26, 2019","July 29, 2019",
"327: July 31, 2019",327,"July 31, 2019","July 31, 2019","July 31, 2019"
"328: March 11-12, 2013",328,"March 11, 2013","March 12, 2013",
"329: August 4-5, 2019",329,"August 4, 2019","August 5, 2019",
330: Magic Coins And Sheep Nations,330,,,
"331: March 13-14, 2013",331,"March 13, 2013","March 14, 2013",
332: Anunnaki Stasis and Emerald Treaties,332,,,
"333: August 16, 2019",333,"August 16, 2019","August 16, 2019","August 16, 2019"
"334: August 21-22, 2019",334,"August 21, 2019","August 22, 2019",
"335: March 15-22, 2013",335,"March 15, 2013","March 22, 2013",
"336: March 24-26, 2013",336,"March 24, 2013","March 26, 2013",
"337: August 28-29, 2019",337,"August 28, 2019","August 29, 2019",
"338: March 27-28, 2013",338,"March 27, 2013","March 28, 2013",
"339: March 29-April 1, 2013",339,"March 29, 2013","April 1, 2013",
340: All About Steve,340,,,
"341: September 5, 2019",341,"September 5, 2019","September 5, 2019","September 5, 2019"
"342: September 6-11, 2019",342,"September 6, 2019","September 11, 2019",
"343: April 3-8, 2013",343,"April 3, 2013","April 8, 2013",
"344: April 9-10, 2013",344,"April 9, 2013","April 10, 2013",
"345: September 19, 2019",345,"September 19, 2019","September 19, 2019","September 19, 2019"
"346: April 11-14, 2013",346,"April 11, 2013","April 13, 2013",
"347: September 23, 2019",347,"September 23, 2019","September 23, 2019","September 23, 2019"
"348: September 24-25, 2019",348,"September 24, 2019","September 25, 2019",
"349: April 15-16, 2013",349,"April 15, 2013","April 16, 2013",
"350: September 29-30, 2019",350,"September 29, 2019","September 30, 2019",
351: Jordan Takes The Wheel 2,351,,,
"352: April 17, 2013",352,"April 17, 2013","April 17, 2013","April 17, 2013"
353: Mark Richards Pt. 11,353,,,
"354: October 8-9, 2019",354,"October 8, 2019","October 9, 2019",
"355: April 18, 2013",355,"April 18, 2013","April 18, 2013","April 18, 2013"
"356: October 11, 2019",356,"October 11, 2019","October 11, 2019","October 11, 2019"
"357: October 16, 2019",357,"October 16, 2019","October 16, 2019","October 16, 2019"
"358: October 18, 2019",358,"October 18, 2019","October 18, 2019","October 18, 2019"
359: It's All Legs,359,,,
"360: October 23, 2019",360,"October 23, 2019","October 23, 2019","October 23, 2019"
"361: April 19, 2013",361,"April 19, 2013","April 19, 2013","April 19, 2013"
362: There Is No Mermaid,362,,,
"363: October 30, 2019",363,"October 30, 2019","October 30, 2019","October 30, 2019"
"364: April 21-22, 2013",364,"April 22, 2013","April 23, 2013",
365: She Doesn't Do Politics,365,,,
"366: November 5-6, 2019",366,"November 5, 2019","November 6, 2019",
"367: April 23, 2013",367,"April 23, 2013","April 23, 2013","April 23, 2013"
"368: November 11-12, 2019",368,"November 11, 2019","November 12, 2019",
"369: November 13, 2019",369,"November 13, 2019","November 13, 2019","November 13, 2019"
"370: November 14-15, 2019",370,"November 14, 2019","November 15, 2019",
371: Canonical Space Weirdness,371,,,
"372: November 20-21, 2019",372,"November 20, 2019","November 21, 2019",
"373: April 24, 2013",373,"April 24, 2013","April 24, 2013","April 24, 2013"
"374: November 25, 2019",374,"November 25, 2019","November 25, 2019","November 25, 2019"
"375: November 29, 2019",375,"November 29, 2019","November 29, 2019","November 29, 2019"
"376: December 3-5, 2019",376,"December 3, 2019","December 5, 2019",
"377: December 6-10, 2019",377,"December 6, 2019","December 10, 2019",
378: Formulaic Objections Part 2,378,,,
"379: December 13-16, 2019",379,"December 13, 2019","December 16, 2019",
"380: December 19-20, 2019",380,"December 19, 2019","December 20, 2019",
381: Making It Big With Silent Weapons,381,,,
"382: December 23-27, 2019",382,"December 23, 2019","December 27, 2019",
"383: December 31, 2019",383,"December 31, 2019","December 31, 2019","December 31, 2019"
"384: January 3, 2020",384,"January 3, 2020","January 3, 2020","January 3, 2020"
"385: January 6, 2020",385,"January 6, 2020","January 6, 2020","January 6, 2020"
"386: January 8, 2020",386,"January 8, 2020","January 8, 2020","January 8, 2020"
"387: May 13, 2014",387,"May 13, 2014","May 13, 2014","May 13, 2014"
"388: January 12-13, 2020",388,"January 12, 2020","January 13, 2020",
"389: January 15-17, 2020",389,"January 15, 2020","January 17, 2020",
390: Grab Bag Minisode,390,,,
"391: January 22, 2020",391,"January 22, 2020","January 22, 2020","January 22, 2020"
"392: January 24, 2020",392,"January 24, 2020","January 24, 2020","January 24, 2020"
"393: January 28, 2020",393,"January 28, 2020","January 28, 2020","January 28, 2020"
"394: January 31, 2020",394,"January 31, 2020","January 31, 2020","January 31, 2020"
395: Ghosts Of Caucuses Past,395,,,
"396: February 6, 2020",396,"February 6, 2020","February 6, 2020","February 6, 2020"
"397: February 7-8, 2020",397,"February 7, 2020","February 8, 2020",
"398: February 9-10, 2020",398,"February 9, 2020","February 10, 2020",
"399: February 12-14, 2020",399,"February 12, 2020","February 14, 2020",
400: One Out Of Five Seems High,400,,,
401: Formulaic Objections Part 3,401,,,
"402: February 20, 2020",402,"February 20, 2020","February 20, 2020","February 20, 2020"
"403: February 24, 2020",403,"February 24, 2020","February 24, 2020","February 24, 2020"
404: Mr. Jones Goes To CPAC,404,,,
405: Root Races and Terminated Spiders,405,,,
"406: March 1-4, 2020",406,"March 1, 2020","March 4, 2020",
"407: March 5-10, 2020",407,"March 5, 2020","March 10, 2020",
"408: March 11-13, 2020",408,"March 11, 2020","March 13, 2020",
409: The Lionel Countdown,409,,,
"410: March 19-20, 2020",410,"March 19, 2020","March 20, 2020",
411: Jordan Takes The Wheel 3,411,,,
"412: March 24-25, 2020",412,"March 24, 2020","March 25, 2020",
"413: March 27, 2020",413,"March 27, 2020","March 27, 2020","March 27, 2020"
414: Bill Cooper's Ambitiously Bad Idea,414,,,
"415: April 1, 2020",415,"April 1, 2020","April 1, 2020","April 1, 2020"
"416: April 2, 2020",416,"April 2, 2020","April 2, 2020","April 2, 2020"
"417: April 5, 2020",417,"April 5, 2020","April 5, 2020","April 5, 2020"
"418: April 8, 2020",418,"April 8, 2020","April 8, 2020","April 8, 2020"
419: Disease Denial and Vampire Affirmation,419,,,
420: The Militia Tech Support Call-In Show,420,,,
"421: April 16, 2020",421,"April 16, 2020","April 16, 2020","April 16, 2020"
"422: April 17, 2020",422,"April 17, 2020","April 17, 2020","April 17, 2020"
"423: April 20, 2020",423,"April 20, 2020","April 20, 2020","April 20, 2020"
